light,temp,label
58.9744,68.71,0,
59.9138,68.71,0,
58.9744,68.71,0,
59.9138,68.71,0,
61.8421,68.71,0,
63.8393,68.71,0,
63.8393,68.71,0,
62.8319,68.71,0,
61.8421,68.71,0,
62.8319,68.71,0,
62.8319,68.71,0,
62.8319,68.71,0,
62.8319,68.71,0,
62.8319,68.71,0,
62.8319,68.71,0,
60.8696,68.71,0,
61.8421,68.71,0,
61.8421,68.71,0,
61.8421,68.71,0,
62.8319,68.71,0,
61.8421,68.71,0,
61.8421,68.71,0,
61.8421,68.71,0,
59.9138,68.71,0,
61.8421,68.71,0,
60.8696,68.71,0,
60.8696,68.71,0,
59.9138,68.71,0,
58.9744,68.71,0,
59.9138,68.71,0,
59.9138,68.71,0,
60.8696,68.71,0,
60.8696,68.71,0,
61.8421,68.71,0,
60.8696,68.71,0,
59.9138,68.71,0,
60.8696,68.71,0,
60.8696,68.71,0,
60.8696,68.71,0,
60.8696,68.71,0,
60.8696,68.71,0,
60.8696,68.71,0,
60.8696,68.71,0,
60.8696,68.71,0,
60.8696,68.08,0,
60.8696,68.08,0,
60.8696,68.71,0,
60.8696,68.71,0,
60.8696,68.08,0,
60.8696,68.71,0,
1366.6667,68.08,1,
1225.0,68.08,1,
1771.4286,68.08,1,
1366.6667,68.08,1,
1366.6667,68.08,1,
1366.6667,68.08,1,
1225.0,68.08,1,
930.7692,68.08,1,
1012.5,68.08,1,
1366.6667,68.08,1,
2075.0,68.08,1,
2075.0,68.08,1,
2075.0,68.08,1,
2075.0,68.08,1,
2075.0,68.08,1,
2075.0,68.08,1,
2075.0,68.08,1,
2500.0,68.08,1,
6325.0,68.08,1,
6325.0,68.08,1,
6325.0,68.08,1,
1771.4286,68.71,1,
1012.5,68.08,1,
860.7143,68.08,1,
860.7143,68.08,1,
1225.0,68.08,1,
1225.0,68.71,1,
1771.4286,68.08,1,
4200.0,68.71,1,
4200.0,68.71,1,
4200.0,68.71,1,
4200.0,68.08,1,
4200.0,68.71,1,
4200.0,68.71,1,
4200.0,68.71,1,
4200.0,68.71,1,
4200.0,68.71,1,
4200.0,68.71,1,
4200.0,68.71,1,
4200.0,68.71,1,
4200.0,68.71,1,
4200.0,68.71,1,
4200.0,68.71,1,
4200.0,68.71,1,
4200.0,68.08,1,
4200.0,68.71,1,
4200.0,68.71,1,
4200.0,68.08,1,
4200.0,68.71,1,
930.7692,68.71,1,
